id,isrc,artist_type,cm_artist,artist_names,code2s,artist_images,artist_covers,spotify_track_ids,spotify_album_ids,spotify_duration_ms,itunes_track_ids,itunes_album_ids,storefronts,deezer_track_ids,deezer_album_ids,deezer_duration,amazon_track_ids,amazon_album_ids,album_ids,album_names,album_upc,album_label,release_dates,created_at,image_url,name,genre_smart_ordered,cm_track_cluster,cm_track,tags,modified_at,description,cm_statistics.cm_track,cm_statistics.de_playlist_total_reach,cm_statistics.num_am_editorial_playlists,cm_statistics.num_am_playlists,cm_statistics.num_az_editorial_playlists,cm_statistics.num_az_playlists,cm_statistics.num_de_editorial_playlists,cm_statistics.num_de_playlists,cm_statistics.num_sp_editorial_playlists,cm_statistics.num_sp_playlists,cm_statistics.num_tt_videos,cm_statistics.num_yt_editorial_playlists,cm_statistics.num_yt_playlists,cm_statistics.sp_playlist_total_reach,cm_statistics.sp_popularity,cm_statistics.sp_streams,cm_statistics.yt_playlist_total_reach,cm_audio_features.acousticness,cm_audio_features.danceability,cm_audio_features.energy,cm_audio_features.instrumentalness,cm_audio_features.key,cm_audio_features.liveness,cm_audio_features.loudness,cm_audio_features.mode,cm_audio_features.speechiness,cm_audio_features.tempo,cm_audio_features.valence,version_types.original,version_types.re_release,version_types.edit,version_types.remix,version_types.acoustic,version_types.alt_ver,version_types.physical_ver,version_types.cover,version_types.live,version_types.feat_or_collab,version_types.dub,version_types.remaster,version_types.bonus,version_types.arrangement,version_types.commentary,version_types.lofi,version_types.component,version_types.karaoke,version_types.compilation_rerelease,version_types.explicit,version_types.clean,version_types.other,preview_url,cm_track_cluster.cluster_id,cm_track_cluster.track_types
13904457,QMJMT1400589,featured,"[213393, 4515]","['WILLOW', 'SZA']","['US', 'US']","[None, None]","[None, None]","['3NxX7c5tW3XmczXmspsA8J', '5SZc01rqjwsKhJJthoyNg1', '10Inkd6fpN068B6ANS4N5F', '3UohguA3ndw5aAFWxra8tg', '3e90JC8EKLsSDUHmPpxkfp', '2Pafxk1Td1i6uNrZK2CJ4B', '6zJiy4paZL10GFgniXeuol', '7l53QRoJwmOBqraC9d9T4L', '2Upmvbhua9ziqCSF14jwwo', '1imk2bYNKIIpaRJXuemhSV', '6u7zW9VehFdFxZB2N5Aj0Z', '14I2TrycorQe0zJQEXk730', '5dj04hZv2WV8IsxpKFmHP9', '1HOsOJGuouGvDb9huGaldW', '5UlUfvxzNumWvNvPnXOZDF', '5ZbSugXpODXNqVF5n9Gmov']","['4z6sl0ZSo2vj1Ed5pAeE0n', '6GaQi3asDhuxt0n60oNQep', '74M7Y94BMW7I2yY2YNXpFR', '6UCcJd7MCg37aBvWa7Qt6u', '5cAJxOFxRwXkCihLMQJYtl', '2z5xyzARcXlHsk1PawsTH1', '16b9UpM6Q9e3JIajmmAbgn', '0OYXkUou2YHkrfgZbjVk6M', '39ncVxwYw6wgJ1T815WZhg', '1oWaql9K0pxatgQYeRqHPU', '1EAziOw3j9DPRcK7071wte', '1C4qFAORWrdA2mvw7pXhN2', '1P98W3l5gjumD46dYqsTFh', '5CdfJBEPqYO4V21w5u8CpJ', '36yjPmSQvsUTWjVolNRV63', '4C8Oh2SK7z5BOCJxLfQaDa']",253800.0,"['1445285311', '934982076', '934647981']","['1445285133', '1445285133', '1445285133']","['US', 'US', 'US']","['89258521', '89242033']","[9029203, 9027377]",253.0,"['B00P1B5IA0', 'B073QYVMBG', 'B00P8EZKNK', 'B097YP8VQJ', 'B097XMVYCC', 'B097YWC7VF', 'B097YP7QWR', 'B097YYBWRB', 'B097YY5NTC', 'B00P718S1K', 'B00P79JF78', 'B00P75VTZS', 'B091RF3H6S', 'B09Z5N1DBD', 'B09Z48NHBR', 'B09Z3HSTDZ', 'B09Z3HD5RP', 'B09Z3FMYTQ', 'B00PADU606']","['B00P1B5CHO', 'B00P1B5CHO', 'B00P1B5CHO', 'B097XN8L23', 'B097XN8L23', 'B097XN8L23', 'B097XN8L23', 'B097XN8L23', 'B097XN8L23', 'B00P718LYY', 'B00P79J5Q4', 'B00P75VQ1A', 'B091S4LGY3', 'B09Z66MLQ7', 'B09Z4D84H4', 'B09Z5K94JP', 'B09Z58Z2KX', 'B09Z52KMLK', 'B00PADU368']","[3318689, 7004438, 7134566, 8280154, 12151193, 21106188, 29005584, 31443222, 33335382, 33827742, 34631131, 40333046, 40875978, 43399456, 48204083]","['3', 'Relax Time', 'Winter Trip', 'make out sesh', 'R&B Music', 'Virgo Energy', 'Powerful Women', 'Duetos Increíbles', 'Walentynki 2024', 'Date Night x Urban Beats', 'Girl Dinner', 'Date Night x Urban Beats', 'old money style', 'R&B de Domingo', 'Sunday Vibes']","['858786005364', '602435507491', '602435649535', '602438159901', '602438543540', '602445928194', '602458300819', '602458641639', '602465121216', '602465328899', '602465560572', '602475627135', '602475484776', '602478153884', '602478703546']","['Roc Nation/Roc Nation Artists/Willow', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UMG Recordings, Inc.', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House', 'UME - Global Clearing House']","['2014-11-10T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2021-04-08T00:00:00.000Z', '2021-07-02T00:00:00.000Z', '2022-05-04T00:00:00.000Z', '2023-07-31T00:00:00.000Z', '2023-10-13T00:00:00.000Z', '2024-02-11T00:00:00.000Z', '2024-03-16T00:00:00.000Z', '2024-03-28T00:00:00.000Z', '2024-11-15T00:00:00.000Z', '2024-11-08T00:00:00.000Z', '2025-03-28T00:00:00.000Z', '2025-07-18T00:00:00.000Z']",2026-05-08T20:38:19Z,https://api.deezer.com/album/9029203/image,9,"[{'1': 510448}, {'2': 507687}, {'3': 507555}, {'4': 501125}, {'5': 510233}, {'6': 510275}, {'7': 507779}, {'8': 510297}, {'9': 510304}, {'10': 510452}, {'11': 510362}, {'12': 510423}, {'13': 510289}, {'14': 507846}, {'15': 501135}, {'16': 510336}, {'17': 510175}, {'18': 510272}, {'19': 507574}, {'20': 501160}, {'21': 510384}]",,13904457,"indie r&b, indie soul, alternative r&b, r&b/soul, deep pop r&b, neo soul, prog-rnb, chill groove, deep indie r&b, experimental r&b, chill r&b, indie electronica, deep r&b, trap soul, psychedelic, therapy, wrapped, bedroom soul, bedroom pop, indie pop, neo r&b",,,13904457,861.0,4.0,12.0,9.0,9.0,0.0,3.0,12.0,21512.0,1367.0,1.0,1.0,5343739.0,62.0,111206501.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14284783,TCABT1443717,featured,"[206722, 4515]","['Isaiah Rashad', 'SZA']","['US', 'US']","[None, None]","[None, None]",['0Gt4nGWoATcQFL38a1NRao'],['6JF49ixyHmOgS0Rsda2k42'],167276.0,['807204263'],['807204094'],['US'],['74791100'],[7392680],167.0,"['B00I2HHDXU', 'B00I2H8O60', 'B00I2IC6CC', 'B00I2IPK0M', 'B00I2IWL36', 'B00I2HVIKO', 'B00I2I0YV2']","['B00I2HHAX8', 'B00I2HHAX8', 'B00I2IC29E', 'B00I2J2WIO', 'B00I2IWCG2', 'B00I2HVE3K', 'B00I2I0R7S']",[1409043],['Cilvia Demo'],['859711929908'],['Top Dawg Entertainment'],['2014-01-28T00:00:00.000Z'],2026-05-08T11:57:34Z,https://i.scdn.co/image/bd22abae4e4c0c91ccbae48dcf19cdfba800d8c3,West Savannah (feat. SZA),"[{'1': 507687}, {'2': 507555}, {'3': 510448}, {'4': 501181}, {'5': 510340}, {'6': 507598}, {'7': 501121}, {'8': 501271}, {'9': 507779}, {'10': 510233}, {'11': 510297}, {'12': 501135}, {'13': 510452}, {'14': 510304}, {'15': 510336}, {'16': 510362}, {'17': 510347}, {'18': 510341}, {'19': 507846}, {'20': 510175}, {'21': 507574}, {'22': 501160}, {'23': 501125}, {'24': 510212}]",,14284783,"indie soul, alternative r&b, indie r&b, neo-soul, beats, conscious rap, hip-hop/rap, alternative hip-hop, prog-rnb, deep pop r&b, chill groove, psychedelic, experimental r&b, deep indie r&b, therapy, chill r&b, chill abstract hip hop, conscious hip hop, trap soul, wrapped, bedroom pop, indie pop, r&b/soul, drumless hip hop",,,14284783,,,,8.0,8.0,,,2.0,31846.0,16512.0,,,4217902.0,68.0,140925338.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290011,TCABW1406835,main,[4515],['SZA'],['US'],[None],[None],['7sg9ToL94GAiksETi5GZGz'],['2qCyMMQ785sPH4Yx25GQZ8'],235769.0,['852343709'],['852343474'],['US'],['76563085'],[7594233],235.0,['B00JG1VUDA'],['B00JG1VSXW'],[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T13:30:29Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,Ur,"[{'1': 501125}, {'2': 507555}, {'3': 510448}, {'4': 510233}, {'5': 507687}, {'6': 510423}, {'7': 510275}, {'8': 507779}, {'9': 510452}, {'10': 510362}, {'11': 507846}, {'12': 501135}, {'13': 510304}, {'14': 510289}, {'15': 510297}, {'16': 510175}]",,14290011,"r&b/soul, alternative r&b, indie r&b, deep pop r&b, indie soul, indie electronica, neo soul, prog-rnb, experimental r&b, chill r&b, trap soul, psychedelic, deep indie r&b, deep r&b, chill groove, wrapped",,,14290011,,1.0,5.0,,,,,4.0,4266.0,464.0,,,758256.0,50.0,20979092.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290012,TCABW1406843,main,"[4515, 4257]","['SZA', 'Chance the Rapper']","['US', 'US']","[None, None]","[None, None]",['7GPstnufSTScEaw9dMxO9H'],['2qCyMMQ785sPH4Yx25GQZ8'],216234.0,['852343743'],['852343474'],['US'],['76563086'],[7594233],216.0,"['B00JG6QEYK', 'B00JG0JL7I', 'B00JG3X0RM', 'B00JG2L5DY', 'B00JG1VVSE', 'B00JFZ0970', 'B00JGG0EWS']","['B00JG6QDHI', 'B00JG0JHD6', 'B00JG0JHD6', 'B00JG0JHD6', 'B00JG1VSXW', 'B00JG0JHD6', 'B00JG0JHD6']",[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T14:32:57Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,Childs Play (feat. Chance the Rapper),"[{'1': 510448}, {'2': 510233}, {'3': 507555}, {'4': 507687}, {'5': 501125}, {'6': 501181}, {'7': 510304}, {'8': 507779}, {'9': 510297}, {'10': 510362}, {'11': 510423}, {'12': 507846}, {'13': 510452}, {'14': 510289}, {'15': 510175}, {'16': 501135}, {'17': 510340}, {'18': 510336}, {'19': 510384}, {'20': 501121}, {'21': 510317}]",,14290012,"indie r&b, deep pop r&b, alternative r&b, indie soul, r&b/soul, neo-soul, deep indie r&b, prog-rnb, chill groove, chill r&b, indie electronica, trap soul, experimental r&b, deep r&b, wrapped, psychedelic, beats, therapy, neo r&b, hip-hop/rap, indie psych-pop",,,14290012,17047.0,17.0,30.0,8.0,8.0,1.0,8.0,16.0,37888.0,2536.0,2.0,2.0,7464131.0,66.0,192135339.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290013,TCABW1406844,main,[4515],['SZA'],['US'],[None],[None],['3oUSdLtRYOSvXcLMrHctv7'],['2qCyMMQ785sPH4Yx25GQZ8'],219642.0,['852343797'],['852343474'],['US'],['76563087'],[7594233],219.0,"['B00JG0JM2W', 'B00JG1VX6Y', 'B00JG3X2P2']","['B00JG0JHD6', 'B00JG1VSXW', 'B00JG0JHD6']",[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T16:25:12Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,Julia,"[{'1': 510448}, {'2': 501125}, {'3': 507555}, {'4': 510423}, {'5': 507687}, {'6': 510233}, {'7': 507779}, {'8': 510452}, {'9': 501181}, {'10': 510304}, {'11': 501135}, {'12': 510297}, {'13': 510175}, {'14': 510362}, {'15': 507846}, {'16': 510289}, {'17': 510336}]",,14290013,"indie r&b, r&b/soul, alternative r&b, indie electronica, indie soul, deep pop r&b, prog-rnb, experimental r&b, neo-soul, deep indie r&b, psychedelic, chill groove, wrapped, chill r&b, trap soul, deep r&b, therapy",,,14290013,675.0,4.0,16.0,3.0,3.0,0.0,1.0,6.0,10059.0,1621.0,,,2217383.0,62.0,52064292.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290014,TCABW1406845,main,"[4515, 206722]","['SZA', 'Isaiah Rashad']","['US', 'US']","[None, None]","[None, None]",['0Kz9aGVgFvndWkcaiylIt5'],['2qCyMMQ785sPH4Yx25GQZ8'],350911.0,['852343798'],['852343474'],['US'],['76563088'],[7594233],350.0,"['B00JG1VYR2', 'B00JG0JMYA']","['B00JG1VSXW', 'B00JG0JHD6']",[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T11:03:23Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,Warm Winds (feat. Isaiah Rashad),"[{'1': 507555}, {'2': 510448}, {'3': 501125}, {'4': 510233}, {'5': 507687}, {'6': 501181}, {'7': 507779}, {'8': 510452}, {'9': 510362}, {'10': 510423}, {'11': 510304}, {'12': 507846}, {'13': 510297}, {'14': 501135}, {'15': 510289}, {'16': 510175}]",,14290014,"alternative r&b, indie r&b, r&b/soul, deep pop r&b, indie soul, neo-soul, prog-rnb, experimental r&b, chill r&b, indie electronica, deep indie r&b, trap soul, chill groove, psychedelic, deep r&b, wrapped",,,14290014,26.0,2.0,8.0,,,0.0,1.0,6.0,7492.0,1108.0,0.0,1.0,1868871.0,58.0,38466741.0,1774.0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290015,TCABW1406846,main,[4515],['SZA'],['US'],[None],[None],['4N0VFSI2wJu2NzwUuI0sMz'],['2qCyMMQ785sPH4Yx25GQZ8'],222164.0,['852343827'],['852343474'],['US'],['76563089'],[7594233],222.0,['B00JG1W07K'],['B00JG1VSXW'],[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T09:37:54Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,HiiiJack,"[{'1': 501125}, {'2': 507555}, {'3': 510448}, {'4': 510233}, {'5': 507687}, {'6': 510423}, {'7': 501181}, {'8': 507779}, {'9': 510452}, {'10': 510362}, {'11': 510304}, {'12': 507846}, {'13': 501135}, {'14': 510289}, {'15': 510297}, {'16': 510175}]",,14290015,"r&b/soul, alternative r&b, indie r&b, deep pop r&b, indie soul, indie electronica, neo-soul, prog-rnb, experimental r&b, chill r&b, deep indie r&b, trap soul, psychedelic, deep r&b, chill groove, wrapped",,,14290015,,0.0,3.0,,,,,7.0,5056.0,295.0,,,1577232.0,54.0,32599965.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290016,TCABW1406848,main,[4515],['SZA'],['US'],[None],[None],['0FclB23LoCgzu0jm9VOPuq'],['2qCyMMQ785sPH4Yx25GQZ8'],214385.0,['852343830'],['852343474'],['US'],['76563090'],[7594233],214.0,"['B00JG1W1OM', 'B00JG6QHBA', 'B00JG0JORU']","['B00JG1VSXW', 'B00JG6QDHI', 'B00JG0JHD6']",[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T12:18:17Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,Green Mile,"[{'1': 501125}, {'2': 507555}, {'3': 510448}, {'4': 510423}, {'5': 510233}, {'6': 507687}, {'7': 510275}, {'8': 510362}, {'9': 510452}, {'10': 507779}, {'11': 507846}, {'12': 510304}, {'13': 510289}, {'14': 510175}, {'15': 501135}]",,14290016,"r&b/soul, alternative r&b, indie r&b, indie electronica, deep pop r&b, indie soul, neo soul, chill r&b, experimental r&b, prog-rnb, trap soul, deep indie r&b, deep r&b, wrapped, psychedelic",,,14290016,13877.0,1.0,2.0,,,0.0,1.0,4.0,2532.0,131.0,,,527038.0,48.0,12852046.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290017,TCABW1406849,main,"[4515, 3768]","['SZA', 'Kendrick Lamar']","['US', 'US']","[None, None]","[None, 'https://i.scdn.co/image/224a09b6da91299e7ae699256ac3faa41a701c2f']",['6Aj2H0Z0v0JgnSfPEwCgW0'],['2qCyMMQ785sPH4Yx25GQZ8'],234284.0,['852345936'],['852343474'],['US'],['76563091'],[7594233],234.0,"['B00JG0JPCO', 'B00JG1W3JU', 'B00JFZ0EDE', 'B00JG3X9WS', 'B00JG6QHWO', 'B00JGG0HS4', 'B00JG2LFIY']","['B00JG0JHD6', 'B00JG1VSXW', 'B00JG0JHD6', 'B00JG0JHD6', 'B00JG6QDHI', 'B00JGG0CWK', 'B00JG2L1II']",[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T09:25:55Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,Babylon (feat. Kendrick Lamar),"[{'1': 510448}, {'2': 507555}, {'3': 501125}, {'4': 510233}, {'5': 507687}, {'6': 501181}, {'7': 510423}, {'8': 507779}, {'9': 510304}, {'10': 510362}, {'11': 510175}, {'12': 510452}, {'13': 507846}, {'14': 501135}, {'15': 510289}, {'16': 510340}, {'17': 501121}, {'18': 510297}, {'19': 510336}]",,14290017,"indie r&b, alternative r&b, r&b/soul, deep pop r&b, indie soul, neo-soul, indie electronica, prog-rnb, deep indie r&b, chill r&b, wrapped, experimental r&b, trap soul, psychedelic, deep r&b, beats, hip-hop/rap, chill groove, therapy",,,14290017,603.0,12.0,21.0,8.0,8.0,0.0,4.0,9.0,12238.0,1596.0,0.0,10.0,2796445.0,55.0,55018111.0,21092865.0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
14290018,TCABW1406850,main,[4515],['SZA'],['US'],[None],[None],['7swGurTfZlwx7mTOE8PpIc'],['2qCyMMQ785sPH4Yx25GQZ8'],243744.0,['852345982'],['852343474'],['US'],['76563092'],[7594233],243.0,"['B00JG1W642', 'B00JG0JQ0A']","['B00JG1VSXW', 'B00JG0JHD6']",[1612145],['Z'],['859712300362'],['Top Dawg Entertainment'],['2014-04-08T00:00:00.000Z'],2026-05-08T13:36:12Z,https://i.scdn.co/image/e22e11d53f56f4fe96b1ae3b79ddb476b2f7a526,Sweet November,"[{'1': 510448}, {'2': 507555}, {'3': 507687}, {'4': 501125}, {'5': 501181}, {'6': 510233}, {'7': 507779}, {'8': 510452}, {'9': 510297}, {'10': 510304}, {'11': 510362}, {'12': 510423}, {'13': 501135}, {'14': 507846}, {'15': 510289}, {'16': 510175}, {'17': 510384}]",,14290018,"indie r&b, alternative r&b, indie soul, r&b/soul, neo-soul, deep pop r&b, prog-rnb, experimental r&b, chill groove, deep indie r&b, chill r&b, indie electronica, psychedelic, trap soul, deep r&b, wrapped, neo r&b",,,14290018,,1.0,5.0,,,,,4.0,11829.0,3062.0,,,1945679.0,60.0,52523567.0,,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,
